iter	Passed	Remaining
0	179	53712
1	249	37180
2	294	29111
3	334	24729
4	445	26277
5	518	25419
6	629	26333
7	672	24553
8	708	22911
9	734	21297
10	771	20269
11	824	19778
12	887	19589
13	901	18426
14	935	17783
15	986	17502
16	1024	17049
17	1086	17022
18	1128	16689
19	1197	16759
20	1268	16857
21	1345	17005
22	1414	17038
23	1494	17183
24	1573	17312
25	1634	17227
26	1700	17193
27	1757	17076
28	1832	17121
29	1899	17093
30	1969	17094
31	2031	17014
32	2099	16984
33	2226	17422
34	2328	17628
35	2351	17243
36	2417	17186
37	2498	17228
38	2564	17159
39	2631	17104
40	2715	17151
41	2810	17264
42	2865	17126
43	2940	17109
44	3018	17106
45	3097	17102
46	3153	16975
47	3215	16883
48	3289	16852
49	3361	16809
50	3435	16772
51	3510	16740
52	3551	16551
53	3617	16480
54	3702	16494
55	3772	16437
56	3838	16363
57	3866	16131
58	3935	16076
59	3993	15974
60	4089	16022
61	4169	16004
62	4254	16006
63	4325	15951
64	4348	15719
65	4423	15684
66	4451	15481
67	4528	15450
68	4639	15532
69	4751	15611
70	4786	15438
71	4853	15368
72	4923	15309
73	5020	15333
74	5085	15257
75	5170	15240
76	5265	15248
77	5334	15183
78	5372	15028
79	5444	14971
80	5516	14915
81	5612	14919
82	5688	14871
83	5765	14825
84	5776	14610
85	5799	14431
86	5807	14219
87	5845	14082
88	5885	13954
89	5921	13817
90	5968	13707
91	6004	13574
92	6042	13449
93	6086	13338
94	6120	13207
95	6170	13111
96	6213	13003
97	6265	12913
98	6323	12839
99	6344	12688
100	6413	12637
101	6496	12610
102	6548	12524
103	6607	12453
104	6649	12349
105	6690	12245
106	6732	12144
107	6769	12035
108	6811	11936
109	6853	11837
110	6895	11741
111	6928	11630
112	6968	11531
113	7014	11445
114	7055	11349
115	7099	11261
116	7136	11162
117	7175	11066
118	7236	11006
119	7279	10918
120	7302	10802
121	7322	10683
122	7345	10570
123	7372	10463
124	7406	10368
125	7436	10269
126	7471	10177
127	7511	10093
128	7542	9997
129	7572	9902
130	7606	9812
131	7647	9733
132	7702	9672
133	7729	9575
134	7749	9472
135	7769	9369
136	7793	9271
137	7815	9174
138	7832	9071
139	7853	8975
140	7873	8878
141	7891	8780
142	7909	8683
143	7926	8587
144	7940	8488
145	7958	8394
146	7976	8301
147	7993	8209
148	8022	8129
149	8042	8042
150	8061	7955
151	8079	7866
152	8094	7776
153	8111	7690
154	8129	7604
155	8148	7521
156	8166	7438
157	8186	7357
158	8205	7276
159	8232	7203
160	8249	7122
161	8269	7044
162	8286	6964
163	8302	6884
164	8319	6807
165	8338	6730
166	8357	6655
167	8375	6580
168	8394	6506
169	8411	6432
170	8430	6359
171	8449	6288
172	8468	6216
173	8487	6145
174	8505	6075
175	8522	6004
176	8539	5933
177	8558	5865
178	8576	5797
179	8594	5729
180	8614	5663
181	8631	5596
182	8649	5529
183	8665	5463
184	8694	5404
185	8713	5340
186	8731	5276
187	8751	5213
188	8769	5150
189	8789	5088
190	8808	5026
191	8824	4963
192	8841	4901
193	8859	4840
194	8874	4778
195	8893	4719
196	8916	4661
197	8951	4611
198	8968	4552
199	8988	4494
200	9003	4434
201	9019	4375
202	9036	4317
203	9070	4268
204	9088	4211
205	9105	4155
206	9123	4099
207	9142	4044
208	9159	3988
209	9178	3933
210	9196	3878
211	9214	3825
212	9240	3774
213	9258	3720
214	9277	3667
215	9293	3613
216	9312	3561
217	9329	3509
218	9346	3457
219	9365	3405
220	9381	3353
221	9399	3302
222	9417	3251
223	9434	3201
224	9449	3149
225	9465	3099
226	9484	3049
227	9502	3000
228	9515	2950
229	9533	2901
230	9550	2852
231	9569	2804
232	9586	2756
233	9607	2709
234	9624	2662
235	9642	2614
236	9657	2567
237	9677	2520
238	9696	2474
239	9715	2428
240	9733	2383
241	9750	2336
242	9768	2291
243	9787	2246
244	9806	2201
245	9826	2157
246	9845	2112
247	9863	2068
248	9883	2024
249	9904	1980
250	9926	1937
251	9945	1894
252	9963	1850
253	9977	1806
254	9995	1763
255	10013	1720
256	10029	1678
257	10045	1635
258	10062	1592
259	10078	1550
260	10110	1510
261	10125	1468
262	10141	1426
263	10156	1384
264	10172	1343
265	10188	1302
266	10208	1261
267	10227	1221
268	10251	1181
269	10269	1141
270	10287	1100
271	10304	1060
272	10319	1020
273	10337	980
274	10354	941
275	10371	901
276	10389	862
277	10405	823
278	10423	784
279	10440	745
280	10458	707
281	10477	668
282	10497	630
283	10518	592
284	10551	555
285	10607	519
286	10655	482
287	10695	445
288	10731	408
289	10772	371
290	10790	333
291	10822	296
292	10841	259
293	10858	221
294	10884	184
295	10902	147
296	10920	110
297	10940	73
298	10958	36
299	10974	0
