iter	Passed	Remaining
0	2	1058
1	3	984
2	5	955
3	7	936
4	9	920
5	11	910
6	12	898
7	14	893
8	16	887
9	18	884
10	19	880
11	21	878
12	23	879
13	25	876
14	27	893
15	29	890
16	31	884
17	33	881
18	34	877
19	36	874
20	38	870
21	40	869
22	41	866
23	43	864
24	45	861
25	47	859
26	49	861
27	51	859
28	53	860
29	54	858
30	56	855
31	58	853
32	60	850
33	62	848
34	63	845
35	65	843
36	67	841
37	69	839
38	70	836
39	72	835
40	74	832
41	76	830
42	78	828
43	79	825
44	81	823
45	83	823
46	85	820
47	87	818
48	88	816
49	90	813
50	92	811
51	94	809
52	95	807
53	97	806
54	99	805
55	101	803
56	103	800
57	104	797
58	106	796
59	108	793
60	110	792
61	112	790
62	113	788
63	115	785
64	117	783
65	119	780
66	120	779
67	122	777
68	124	775
69	126	773
70	128	771
71	129	769
72	131	767
73	133	765
74	134	763
75	136	761
76	138	759
77	140	757
78	142	755
79	144	754
80	146	753
81	147	752
82	149	750
83	151	748
84	153	746
85	154	744
86	156	741
87	158	739
88	160	737
89	161	735
90	163	732
91	165	730
92	166	728
93	168	726
94	171	729
95	173	728
96	175	727
97	177	725
98	179	723
99	183	731
100	185	731
101	190	740
102	192	740
103	215	816
104	217	815
105	229	849
106	231	848
107	234	848
108	241	865
109	246	873
110	249	871
111	257	889
112	259	886
113	261	884
114	269	899
115	271	896
116	279	913
117	282	910
118	284	907
119	288	910
120	290	907
121	292	903
122	297	909
123	299	905
124	301	901
125	302	896
126	304	892
127	306	888
128	308	883
129	309	879
130	311	874
131	313	870
132	314	866
133	316	862
134	318	858
135	320	855
136	322	851
137	323	847
138	325	843
139	327	839
140	329	835
141	330	831
142	332	827
143	334	823
144	335	819
145	337	815
146	339	812
147	341	808
148	342	805
149	344	801
150	346	797
151	347	794
152	349	790
153	351	786
154	352	783
155	354	779
156	356	776
157	358	772
158	359	769
159	361	766
160	363	762
161	365	759
162	366	756
163	368	753
164	370	749
165	372	746
166	373	743
167	375	740
168	377	736
169	379	733
170	380	730
171	382	727
172	384	724
173	386	721
174	388	718
175	389	715
176	391	711
177	393	708
178	394	705
179	396	702
180	398	699
181	399	696
182	401	693
183	403	690
184	404	687
185	406	684
186	408	681
187	410	678
188	412	675
189	414	673
190	415	670
191	417	667
192	419	664
193	421	661
194	422	659
195	424	656
196	426	653
197	428	650
198	429	647
199	431	645
200	433	642
201	435	639
202	437	637
203	438	634
204	440	631
205	442	629
206	444	626
207	445	623
208	447	620
209	449	618
210	452	617
211	454	614
212	455	611
213	457	609
214	459	606
215	460	603
216	462	600
217	464	598
218	465	595
219	467	593
220	469	590
221	471	588
222	474	586
223	476	584
224	478	582
225	480	579
226	481	577
227	483	574
228	484	571
229	486	569
230	488	566
231	490	564
232	491	561
233	493	559
234	495	556
235	497	554
236	499	551
237	500	549
238	503	548
239	505	545
240	507	543
241	509	540
242	510	538
243	512	535
244	514	533
245	516	531
246	518	529
247	520	526
248	521	523
249	523	521
250	525	518
251	526	516
252	528	514
253	530	511
254	532	509
255	534	507
256	535	504
257	537	502
258	539	499
259	541	497
260	542	495
261	544	492
262	546	490
263	548	487
264	549	485
265	551	483
266	553	480
267	555	478
268	556	476
269	558	473
270	560	471
271	562	469
272	563	466
273	566	465
274	568	462
275	569	460
276	571	458
277	573	455
278	575	453
279	576	451
280	578	448
281	580	446
282	582	444
283	583	441
284	585	439
285	587	437
286	589	435
287	591	433
288	594	431
289	595	429
290	597	427
291	599	424
292	601	422
293	602	420
294	604	418
295	606	415
296	608	413
297	610	411
298	611	409
299	613	407
300	615	405
301	617	402
302	619	400
303	621	398
304	623	396
305	624	394
306	626	391
307	628	389
308	630	387
309	631	385
310	633	382
311	635	380
312	636	378
313	638	376
314	640	373
315	641	371
316	643	369
317	645	367
318	647	365
319	648	362
320	651	361
321	653	359
322	655	356
323	657	355
324	659	353
325	661	350
326	663	348
327	664	346
328	666	344
329	668	342
330	670	340
331	671	337
332	673	335
333	675	333
334	677	331
335	678	329
336	680	327
337	682	325
338	684	323
339	686	320
340	688	318
341	690	316
342	691	314
343	693	312
344	695	310
345	697	308
346	699	306
347	700	304
348	702	301
349	705	300
350	708	298
351	710	296
352	717	296
353	718	294
354	720	292
355	722	290
356	724	288
357	725	285
358	727	283
359	729	281
360	731	279
361	732	277
362	734	275
363	737	273
364	739	271
365	742	269
366	744	267
367	751	267
368	757	266
369	758	264
370	760	262
371	763	260
372	765	258
373	766	256
374	768	254
375	770	252
376	772	249
377	774	247
378	775	245
379	777	243
380	779	241
381	781	239
382	782	237
383	784	235
384	786	232
385	788	230
386	790	228
387	791	226
388	793	224
389	795	222
390	797	220
391	798	218
392	800	215
393	802	213
394	804	211
395	806	209
396	807	207
397	809	205
398	811	203
399	813	201
400	816	199
401	818	197
402	820	195
403	822	193
404	823	191
405	825	189
406	827	187
407	829	184
408	830	182
409	832	180
410	834	178
411	836	176
412	837	174
413	839	172
414	841	170
415	843	168
416	844	166
417	846	164
418	848	161
419	850	159
420	851	157
421	853	155
422	855	153
423	857	151
424	858	149
425	860	147
426	862	145
427	864	143
428	865	141
429	867	139
430	869	137
431	870	135
432	872	132
433	874	130
434	875	128
435	877	126
436	879	124
437	881	122
438	882	120
439	884	118
440	886	116
441	888	114
442	890	112
443	891	110
444	893	108
445	895	106
446	897	104
447	898	102
448	900	100
449	902	98
450	904	96
451	906	94
452	908	92
453	909	90
454	911	88
455	913	86
456	915	84
457	917	82
458	919	80
459	921	78
460	922	76
461	924	74
462	926	72
463	928	70
464	929	67
465	931	65
466	933	63
467	935	61
468	936	59
469	938	57
470	940	55
471	942	53
472	944	51
473	946	49
474	948	47
475	950	45
476	951	43
477	953	41
478	955	39
479	957	37
480	959	35
481	960	33
482	962	31
483	964	29
484	965	27
485	967	25
486	969	23
487	971	21
488	972	19
489	974	17
490	976	15
491	978	13
492	979	11
493	981	9
494	983	7
495	985	5
496	986	3
497	988	1
498	990	0
